年月,銀行,銀行類別,項目,數值,英文項目
10206,總計,本國銀行,戶數,8902620,CL_Cnt
10206,總計,本國銀行,餘額,6738199000000,CL_Bal
10206,臺灣銀行,本國銀行,戶數,4457376,CL_Cnt
10206,臺灣銀行,本國銀行,餘額,656484000000,CL_Bal
10206,臺灣土地銀行,本國銀行,戶數,392312,CL_Cnt
10206,臺灣土地銀行,本國銀行,餘額,675178000000,CL_Bal
10206,合作金庫商業銀行,本國銀行,戶數,264210,CL_Cnt
10206,合作金庫商業銀行,本國銀行,餘額,506339000000,CL_Bal
10206,第一商業銀行,本國銀行,戶數,127862,CL_Cnt
10206,第一商業銀行,本國銀行,餘額,341603000000,CL_Bal
10206,華南商業銀行,本國銀行,戶數,189006,CL_Cnt
10206,華南商業銀行,本國銀行,餘額,424366000000,CL_Bal
10206,彰化商業銀行,本國銀行,戶數,118628,CL_Cnt
10206,彰化商業銀行,本國銀行,餘額,295666000000,CL_Bal
10206,上海商業儲蓄銀行,本國銀行,戶數,35251,CL_Cnt
10206,上海商業儲蓄銀行,本國銀行,餘額,116689000000,CL_Bal
10206,台北富邦銀行,本國銀行,戶數,311922,CL_Cnt
10206,台北富邦銀行,本國銀行,餘額,321519000000,CL_Bal
10206,國泰世華商業銀行,本國銀行,戶數,130935,CL_Cnt
10206,國泰世華商業銀行,本國銀行,餘額,303615000000,CL_Bal
10206,中國輸出入銀行,本國銀行,戶數,0,CL_Cnt
10206,中國輸出入銀行,本國銀行,餘額,0,CL_Bal
10206,高雄銀行,本國銀行,戶數,76441,CL_Cnt
10206,高雄銀行,本國銀行,餘額,43815000000,CL_Bal
10206,兆豐國際商業銀行,本國銀行,戶數,61451,CL_Cnt
10206,兆豐國際商業銀行,本國銀行,餘額,187210000000,CL_Bal
10206,花旗,本國銀行,戶數,195802,CL_Cnt
10206,花旗,本國銀行,餘額,123950000000,CL_Bal
10206,澳盛,本國銀行,戶數,42569,CL_Cnt
10206,澳盛,本國銀行,餘額,36598000000,CL_Bal
10206,中華開發工業銀行,本國銀行,戶數,12,CL_Cnt
10206,中華開發工業銀行,本國銀行,餘額,4000000,CL_Bal
10206,臺灣工業銀行,本國銀行,戶數,1,CL_Cnt
10206,臺灣工業銀行,本國銀行,餘額,0,CL_Bal
10206,匯豐,本國銀行,戶數,54757,CL_Cnt
10206,匯豐,本國銀行,餘額,107827000000,CL_Bal
10206,大台北商業銀行,本國銀行,戶數,2875,CL_Cnt
10206,大台北商業銀行,本國銀行,餘額,10159000000,CL_Bal
10206,華泰商業銀行,本國銀行,戶數,6956,CL_Cnt
10206,華泰商業銀行,本國銀行,餘額,16609000000,CL_Bal
10206,臺灣新光商業銀行,本國銀行,戶數,102011,CL_Cnt
10206,臺灣新光商業銀行,本國銀行,餘額,133148000000,CL_Bal
10206,陽信商業銀行,本國銀行,戶數,27268,CL_Cnt
10206,陽信商業銀行,本國銀行,餘額,46522000000,CL_Bal
10206,板信商業銀行,本國銀行,戶數,19996,CL_Cnt
10206,板信商業銀行,本國銀行,餘額,26841000000,CL_Bal
10206,三信商業銀行,本國銀行,戶數,49429,CL_Cnt
10206,三信商業銀行,本國銀行,餘額,37002000000,CL_Bal
10206,聯邦商業銀行,本國銀行,戶數,79695,CL_Cnt
10206,聯邦商業銀行,本國銀行,餘額,86200000000,CL_Bal
10206,遠東國際商業銀行,本國銀行,戶數,246499,CL_Cnt
10206,遠東國際商業銀行,本國銀行,餘額,147598000000,CL_Bal
10206,元大商業銀行,本國銀行,戶數,73683,CL_Cnt
10206,元大商業銀行,本國銀行,餘額,110099000000,CL_Bal
10206,永豐商業銀行,本國銀行,戶數,99947,CL_Cnt
10206,永豐商業銀行,本國銀行,餘額,245468000000,CL_Bal
10206,玉山商業銀行,本國銀行,戶數,161428,CL_Cnt
10206,玉山商業銀行,本國銀行,餘額,240287000000,CL_Bal
10206,萬泰商業銀行,本國銀行,戶數,182946,CL_Cnt
10206,萬泰商業銀行,本國銀行,餘額,54769000000,CL_Bal
10206,星展,本國銀行,戶數,43514,CL_Cnt
10206,星展,本國銀行,餘額,53508000000,CL_Bal
10206,台新國際商業銀行,本國銀行,戶數,273019,CL_Cnt
10206,台新國際商業銀行,本國銀行,餘額,296711000000,CL_Bal
10206,大眾商業銀行,本國銀行,戶數,84828,CL_Cnt
10206,大眾商業銀行,本國銀行,餘額,100184000000,CL_Bal
10206,日盛國際商業銀行,本國銀行,戶數,40068,CL_Cnt
10206,日盛國際商業銀行,本國銀行,餘額,50701000000,CL_Bal
10206,安泰商業銀行,本國銀行,戶數,64848,CL_Cnt
10206,安泰商業銀行,本國銀行,餘額,65340000000,CL_Bal
10206,中國信託商業銀行,本國銀行,戶數,440358,CL_Cnt
10206,中國信託商業銀行,本國銀行,餘額,394637000000,CL_Bal
10206,臺灣中小企業銀行,本國銀行,戶數,128708,CL_Cnt
10206,臺灣中小企業銀行,本國銀行,餘額,192346000000,CL_Bal
10206,渣打國際商業銀行,本國銀行,戶數,272969,CL_Cnt
10206,渣打國際商業銀行,本國銀行,餘額,215836000000,CL_Bal
10206,台中商業銀行,本國銀行,戶數,28872,CL_Cnt
10206,台中商業銀行,本國銀行,餘額,52603000000,CL_Bal
10206,京城商業銀行,本國銀行,戶數,14168,CL_Cnt
10206,京城商業銀行,本國銀行,餘額,20767000000,CL_Bal
10206,總計,外國銀行在台分行,戶數,42,CL_Cnt
10206,總計,外國銀行在台分行,餘額,116000000,CL_Bal
10206,日商瑞穗實業銀行,外國銀行在台分行,戶數,0,CL_Cnt
10206,日商瑞穗實業銀行,外國銀行在台分行,餘額,0,CL_Bal
10206,美商美國銀行,外國銀行在台分行,戶數,3,CL_Cnt
10206,美商美國銀行,外國銀行在台分行,餘額,0,CL_Bal
10206,泰國盤谷銀行,外國銀行在台分行,戶數,0,CL_Cnt
10206,泰國盤谷銀行,外國銀行在台分行,餘額,0,CL_Bal
10206,菲律賓首都銀行,外國銀行在台分行,戶數,12,CL_Cnt
10206,菲律賓首都銀行,外國銀行在台分行,餘額,2000000,CL_Bal
10206,美商美國紐約梅隆銀行,外國銀行在台分行,戶數,0,CL_Cnt
10206,美商美國紐約梅隆銀行,外國銀行在台分行,餘額,0,CL_Bal
10206,新加坡大華銀行,外國銀行在台分行,戶數,0,CL_Cnt
10206,新加坡大華銀行,外國銀行在台分行,餘額,0,CL_Bal
10206,美商道富銀行,外國銀行在台分行,戶數,0,CL_Cnt
10206,美商道富銀行,外國銀行在台分行,餘額,0,CL_Bal
10206,法國興業銀行,外國銀行在台分行,戶數,0,CL_Cnt
10206,法國興業銀行,外國銀行在台分行,餘額,0,CL_Bal
10206,澳商澳盛銀行,外國銀行在台分行,戶數,0,CL_Cnt
10206,澳商澳盛銀行,外國銀行在台分行,餘額,0,CL_Bal
10206,德商德意志銀行,外國銀行在台分行,戶數,0,CL_Cnt
10206,德商德意志銀行,外國銀行在台分行,餘額,0,CL_Bal
10206,香港東亞銀行,外國銀行在台分行,戶數,21,CL_Cnt
10206,香港東亞銀行,外國銀行在台分行,餘額,2000000,CL_Bal
10206,美商摩根大通銀行,外國銀行在台分行,戶數,0,CL_Cnt
10206,美商摩根大通銀行,外國銀行在台分行,餘額,0,CL_Bal
10206,新加坡商星展銀行,外國銀行在台分行,戶數,0,CL_Cnt
10206,新加坡商星展銀行,外國銀行在台分行,餘額,0,CL_Bal
10206,法商法國巴黎銀行,外國銀行在台分行,戶數,1,CL_Cnt
