年月,銀行,銀行類別,項目,數值
10201,總計,全體銀行機構,一般定期性存款,12953742000000
10201,總計,全體銀行機構,可轉讓定期存款,217727000000
10201,臺灣銀行,本國銀行,一般定期性存款,1846333000000
10201,臺灣銀行,本國銀行,可轉讓定期存款,771000000
10201,臺灣土地銀行,本國銀行,一般定期性存款,1137415000000
10201,臺灣土地銀行,本國銀行,可轉讓定期存款,2353000000
10201,合作金庫商業銀行,本國銀行,一般定期性存款,1074989000000
10201,合作金庫商業銀行,本國銀行,可轉讓定期存款,2206000000
10201,第一商業銀行,本國銀行,一般定期性存款,479976000000
10201,第一商業銀行,本國銀行,可轉讓定期存款,10334000000
10201,華南商業銀行,本國銀行,一般定期性存款,512375000000
10201,華南商業銀行,本國銀行,可轉讓定期存款,3654000000
10201,彰化商業銀行,本國銀行,一般定期性存款,481021000000
10201,彰化商業銀行,本國銀行,可轉讓定期存款,9300000000
10201,上海商業儲蓄銀行,本國銀行,一般定期性存款,292753000000
10201,上海商業儲蓄銀行,本國銀行,可轉讓定期存款,4524000000
10201,台北富邦銀行,本國銀行,一般定期性存款,561103000000
10201,台北富邦銀行,本國銀行,可轉讓定期存款,1656000000
10201,國泰世華商業銀行,本國銀行,一般定期性存款,563341000000
10201,國泰世華商業銀行,本國銀行,可轉讓定期存款,6931000000
10201,中國輸出入銀行,本國銀行,一般定期性存款,0
10201,中國輸出入銀行,本國銀行,可轉讓定期存款,0
10201,高雄銀行,本國銀行,一般定期性存款,100063000000
10201,高雄銀行,本國銀行,可轉讓定期存款,2083000000
10201,兆豐國際商業銀行,本國銀行,一般定期性存款,525829000000
10201,兆豐國際商業銀行,本國銀行,可轉讓定期存款,1579000000
10201,花旗,本國銀行,一般定期性存款,76685000000
10201,花旗,本國銀行,可轉讓定期存款,137000000
10201,中華開發工業銀行,本國銀行,一般定期性存款,64027000000
10201,中華開發工業銀行,本國銀行,可轉讓定期存款,0
10201,臺灣工業銀行,本國銀行,一般定期性存款,59364000000
10201,臺灣工業銀行,本國銀行,可轉讓定期存款,0
10201,匯豐,本國銀行,一般定期性存款,89502000000
10201,匯豐,本國銀行,可轉讓定期存款,250000000
10201,大台北商業銀行,本國銀行,一般定期性存款,27860000000
10201,大台北商業銀行,本國銀行,可轉讓定期存款,1856000000
10201,華泰商業銀行,本國銀行,一般定期性存款,69122000000
10201,華泰商業銀行,本國銀行,可轉讓定期存款,2170000000
10201,臺灣新光商業銀行,本國銀行,一般定期性存款,286792000000
10201,臺灣新光商業銀行,本國銀行,可轉讓定期存款,3662000000
10201,陽信商業銀行,本國銀行,一般定期性存款,132268000000
10201,陽信商業銀行,本國銀行,可轉讓定期存款,3720000000
10201,板信商業銀行,本國銀行,一般定期性存款,79827000000
10201,板信商業銀行,本國銀行,可轉讓定期存款,1064000000
10201,三信商業銀行,本國銀行,一般定期性存款,71878000000
10201,三信商業銀行,本國銀行,可轉讓定期存款,262000000
10201,聯邦商業銀行,本國銀行,一般定期性存款,170342000000
10201,聯邦商業銀行,本國銀行,可轉讓定期存款,777000000
10201,遠東國際商業銀行,本國銀行,一般定期性存款,240183000000
10201,遠東國際商業銀行,本國銀行,可轉讓定期存款,17779000000
10201,元大商業銀行,本國銀行,一般定期性存款,158234000000
10201,元大商業銀行,本國銀行,可轉讓定期存款,32744000000
10201,永豐商業銀行,本國銀行,一般定期性存款,477972000000
10201,永豐商業銀行,本國銀行,可轉讓定期存款,24778000000
10201,玉山商業銀行,本國銀行,一般定期性存款,408123000000
10201,玉山商業銀行,本國銀行,可轉讓定期存款,1650000000
10201,萬泰商業銀行,本國銀行,一般定期性存款,83494000000
10201,萬泰商業銀行,本國銀行,可轉讓定期存款,555000000
10201,星展,本國銀行,一般定期性存款,121447000000
10201,星展,本國銀行,可轉讓定期存款,6000000
10201,台新國際商業銀行,本國銀行,一般定期性存款,414482000000
10201,台新國際商業銀行,本國銀行,可轉讓定期存款,778000000
10201,大眾商業銀行,本國銀行,一般定期性存款,191500000000
10201,大眾商業銀行,本國銀行,可轉讓定期存款,6134000000
10201,日盛國際商業銀行,本國銀行,一般定期性存款,68187000000
10201,日盛國際商業銀行,本國銀行,可轉讓定期存款,2040000000
10201,安泰商業銀行,本國銀行,一般定期性存款,179300000000
10201,安泰商業銀行,本國銀行,可轉讓定期存款,29045000000
10201,中國信託商業銀行,本國銀行,一般定期性存款,511186000000
10201,中國信託商業銀行,本國銀行,可轉讓定期存款,894000000
10201,臺灣中小企業銀行,本國銀行,一般定期性存款,452747000000
10201,臺灣中小企業銀行,本國銀行,可轉讓定期存款,20112000000
10201,渣打國際商業銀行,本國銀行,一般定期性存款,197880000000
10201,渣打國際商業銀行,本國銀行,可轉讓定期存款,13524000000
10201,台中商業銀行,本國銀行,一般定期性存款,196595000000
10201,台中商業銀行,本國銀行,可轉讓定期存款,5780000000
10201,京城商業銀行,本國銀行,一般定期性存款,65731000000
10201,京城商業銀行,本國銀行,可轉讓定期存款,189000000
10201,小計,外國銀行在台分行,一般定期性存款,145055000000
10201,小計,外國銀行在台分行,可轉讓定期存款,2432000000
10201,大陸地區銀行在臺分行,本國銀行,一般定期性存款,2183000000
10201,大陸地區銀行在臺分行,本國銀行,可轉讓定期存款,0
10201,小計,信用合作社,一般定期性存款,338759000000
10201,小計,信用合作社,可轉讓定期存款,0
