年月,銀行,銀行類別,項目,數值
9902,總計,全體總和,對中小企業,3187351000000
9902,總計,全體總和,佔放款%,18.18
9902,總計,全體總和,市佔率,100.0
9902,臺灣銀行,本國銀行,對中小企業,222528000000
9902,臺灣銀行,本國銀行,佔放款%,11.26
9902,臺灣銀行,本國銀行,市佔率,6.98
9902,臺灣土地銀行,本國銀行,對中小企業,220511000000
9902,臺灣土地銀行,本國銀行,佔放款%,14.21
9902,臺灣土地銀行,本國銀行,市佔率,6.92
9902,合作金庫商業銀行,本國銀行,對中小企業,400251000000
9902,合作金庫商業銀行,本國銀行,佔放款%,23.63
9902,合作金庫商業銀行,本國銀行,市佔率,12.56
9902,第一商業銀行,本國銀行,對中小企業,362222000000
9902,第一商業銀行,本國銀行,佔放款%,37.56
9902,第一商業銀行,本國銀行,市佔率,11.36
9902,華南商業銀行,本國銀行,對中小企業,278813000000
9902,華南商業銀行,本國銀行,佔放款%,27.23
9902,華南商業銀行,本國銀行,市佔率,8.75
9902,彰化商業銀行,本國銀行,對中小企業,218563000000
9902,彰化商業銀行,本國銀行,佔放款%,23.79
9902,彰化商業銀行,本國銀行,市佔率,6.86
9902,上海商業儲蓄銀行,本國銀行,對中小企業,81342000000
9902,上海商業儲蓄銀行,本國銀行,佔放款%,29.86
9902,上海商業儲蓄銀行,本國銀行,市佔率,2.55
9902,台北富邦銀行,本國銀行,對中小企業,67659000000
9902,台北富邦銀行,本國銀行,佔放款%,8.45
9902,台北富邦銀行,本國銀行,市佔率,2.12
9902,國泰世華商業銀行,本國銀行,對中小企業,75096000000
9902,國泰世華商業銀行,本國銀行,佔放款%,10.62
9902,國泰世華商業銀行,本國銀行,市佔率,2.36
9902,中國輸出入銀行,本國銀行,對中小企業,4702000000
9902,中國輸出入銀行,本國銀行,佔放款%,10.08
9902,中國輸出入銀行,本國銀行,市佔率,0.15
9902,高雄銀行,本國銀行,對中小企業,27321000000
9902,高雄銀行,本國銀行,佔放款%,19.97
9902,高雄銀行,本國銀行,市佔率,0.86
9902,兆豐國際商業銀行,本國銀行,對中小企業,211851000000
9902,兆豐國際商業銀行,本國銀行,佔放款%,23.42
9902,兆豐國際商業銀行,本國銀行,市佔率,6.65
9902,花旗,本國銀行,對中小企業,6755000000
9902,花旗,本國銀行,佔放款%,5.47
9902,花旗,本國銀行,市佔率,0.21
9902,中華開發工業銀行,本國銀行,對中小企業,2184000000
9902,中華開發工業銀行,本國銀行,佔放款%,3.58
9902,中華開發工業銀行,本國銀行,市佔率,0.07
9902,臺灣工業銀行,本國銀行,對中小企業,2284000000
9902,臺灣工業銀行,本國銀行,佔放款%,4.59
9902,臺灣工業銀行,本國銀行,市佔率,0.07
9902,大台北商業銀行,本國銀行,對中小企業,1646000000
9902,大台北商業銀行,本國銀行,佔放款%,6.38
9902,大台北商業銀行,本國銀行,市佔率,0.05
9902,華泰商業銀行,本國銀行,對中小企業,18301000000
9902,華泰商業銀行,本國銀行,佔放款%,22.24
9902,華泰商業銀行,本國銀行,市佔率,0.57
9902,臺灣新光商業銀行,本國銀行,對中小企業,32200000000
9902,臺灣新光商業銀行,本國銀行,佔放款%,11.51
9902,臺灣新光商業銀行,本國銀行,市佔率,1.01
9902,陽信商業銀行,本國銀行,對中小企業,23236000000
9902,陽信商業銀行,本國銀行,佔放款%,14.34
9902,陽信商業銀行,本國銀行,市佔率,0.73
9902,板信商業銀行,本國銀行,對中小企業,17818000000
9902,板信商業銀行,本國銀行,佔放款%,15.65
9902,板信商業銀行,本國銀行,市佔率,0.56
9902,三信商業銀行,本國銀行,對中小企業,10218000000
9902,三信商業銀行,本國銀行,佔放款%,13.28
9902,三信商業銀行,本國銀行,市佔率,0.32
9902,聯邦商業銀行,本國銀行,對中小企業,21308000000
9902,聯邦商業銀行,本國銀行,佔放款%,12.45
9902,聯邦商業銀行,本國銀行,市佔率,0.67
9902,遠東國際商業銀行,本國銀行,對中小企業,9096000000
9902,遠東國際商業銀行,本國銀行,佔放款%,4.67
9902,遠東國際商業銀行,本國銀行,市佔率,0.29
9902,元大商業銀行,本國銀行,對中小企業,41423000000
9902,元大商業銀行,本國銀行,佔放款%,17.64
9902,元大商業銀行,本國銀行,市佔率,1.3
9902,永豐商業銀行,本國銀行,對中小企業,83364000000
9902,永豐商業銀行,本國銀行,佔放款%,14.21
9902,永豐商業銀行,本國銀行,市佔率,2.62
9902,玉山商業銀行,本國銀行,對中小企業,117686000000
9902,玉山商業銀行,本國銀行,佔放款%,22.0
9902,玉山商業銀行,本國銀行,市佔率,3.69
9902,萬泰商業銀行,本國銀行,對中小企業,15545000000
9902,萬泰商業銀行,本國銀行,佔放款%,21.8
9902,萬泰商業銀行,本國銀行,市佔率,0.49
9902,台新國際商業銀行,本國銀行,對中小企業,36157000000
9902,台新國際商業銀行,本國銀行,佔放款%,7.67
9902,台新國際商業銀行,本國銀行,市佔率,1.13
9902,大眾商業銀行,本國銀行,對中小企業,5413000000
9902,大眾商業銀行,本國銀行,佔放款%,2.52
9902,大眾商業銀行,本國銀行,市佔率,0.17
9902,日盛國際商業銀行,本國銀行,對中小企業,10095000000
9902,日盛國際商業銀行,本國銀行,佔放款%,8.75
9902,日盛國際商業銀行,本國銀行,市佔率,0.32
9902,安泰商業銀行,本國銀行,對中小企業,44045000000
9902,安泰商業銀行,本國銀行,佔放款%,24.2
9902,安泰商業銀行,本國銀行,市佔率,1.38
9902,中國信託商業銀行,本國銀行,對中小企業,61591000000
9902,中國信託商業銀行,本國銀行,佔放款%,8.07
9902,中國信託商業銀行,本國銀行,市佔率,1.93
9902,慶豐商業銀行,本國銀行,對中小企業,2135000000
9902,慶豐商業銀行,本國銀行,佔放款%,15.35
9902,慶豐商業銀行,本國銀行,市佔率,0.07
9902,臺灣中小企業銀行,本國銀行,對中小企業,297604000000
9902,臺灣中小企業銀行,本國銀行,佔放款%,35.24
9902,臺灣中小企業銀行,本國銀行,市佔率,9.34
9902,渣打國際商業銀行,本國銀行,對中小企業,21910000000
9902,渣打國際商業銀行,本國銀行,佔放款%,6.98
9902,渣打國際商業銀行,本國銀行,市佔率,0.69
9902,台中商業銀行,本國銀行,對中小企業,76691000000
9902,台中商業銀行,本國銀行,佔放款%,34.34
9902,台中商業銀行,本國銀行,市佔率,2.41
9902,京城商業銀行,本國銀行,對中小企業,21113000000
9902,京城商業銀行,本國銀行,佔放款%,22.54
9902,京城商業銀行,本國銀行,市佔率,0.66
9902,外國銀行在台分行,本國銀行,對中小企業,36676000000
9902,外國銀行在台分行,本國銀行,佔放款%,6.88
9902,外國銀行在台分行,本國銀行,市佔率,1.15
